Column Name,Full Column Name,Data Type,Description,Example
team_id,Team ID,`int`,The MiLB team ID for this team.,"""260"" (Tulsa Drillers, Double-A), ""445"" (Columbus Clippers, Triple-A) , ""5370"" (ACL Giants Orange, Arizona Complex League)"
team_full_name,Team Full Name,`str`,The full team name for this MiLB team.,"""Tulsa Drillers"", ""Columbus Clippers"", ""ACL Giants Orange"""
team_link,Team Link,`str`,The API link for this MiLB team.,"""/api/v1/teams/260"" (Tulsa Drillers, Double-A), ""/api/v1/teams/445"" (Columbus Clippers, Triple-A) , ""/api/v1/teams/5370"" (ACL Giants Orange, Arizona Complex League)"
season,Season,`int`,The season this team played in.,"""2022"", ""2023"""
team_venue_id,Team Venue ID,`int`,The ID of the home stadium of this MiLB team.,"""4149"" (Tulsa Drillers, Double-A), ""3970"" (Columbus Clippers, Triple-A) , ""2824"" (ACL Giants Orange, Arizona Complex League)"
team_venue_name,Team Venue Name,`str`,The name of the home stadium for this MiLB team.,"""ONEOK Field"", ""Huntington Park"", ""Papago Sports Complex"""
team_venue_link,Team Venue Link,`str`,The API link for information regarding this MiLB team's home stadium.,
team_code,Team Code,`int`,The three (3) letter code identifying this MiLB team.,"""tul"" (Tulsa Drillers, Double-A), ""cbs"" (Columbus Clippers, Triple-A) , ""gio"" (ACL Giants Orange, Arizona Complex League)"
file_code,File Code,`str`,,"""t260"" (Tulsa Drillers, Double-A), ""t445"" (Columbus Clippers, Triple-A) , ""t5370"" (ACL Giants Orange, Arizona Complex League)"
team_abbreviation,Team Abbreviation,`str`,The abbreviation of this MiLB team.,"""TUL"" (Tulsa Drillers, Double-A), ""COL"" (Columbus Clippers, Triple-A) , ""GNTO"" (ACL Giants Orange, Arizona Complex League)"
team_nickname,Team Nickname,`str`,"The nickname of this MiLB team, or the full name of this team, if this team lacks a nickname.","""Drillers"" (Tulsa Drillers, Double-A), ""Clippers"" (Columbus Clippers, Triple-A) , ""ACL Giants Orange"" (ACL Giants Orange, Arizona Complex League)"
team_location,Team Location,`str`,The town this MiLB team is located in.,"""Tulsa"" (Tulsa, OK; Tulsa Drillers, Double-A), ""Columbus"" (Columbus, OH; Columbus Clippers, Triple-A) , ""Phoenix"" (Phoenix, AZ; ACL Giants Orange, Arizona Complex League)"
first_year_of_play,First Year of Play,`int`,The first year this team came into existance.,"""1977"" (Tulsa Drillers, Double-A), ""1977"" (Columbus Clippers, Triple-A) , ""2018"" (ACL Giants Orange, Arizona Complex League)"
league_id,League ID,`int`,"The league ID for the league this MiLB team played in, in this season.","""109"" (Texas League, Double-A), ""221"" (International League, Triple-A), ""560"" (Arizona Complex League, Rookie)"
league_name,League Name,`str`,"The league name for the league this MiLB team played in, in this season.","""TEX"" (Texas League, Double-A), ""INT"" (International League, Triple-A), ""ACL"" (Arizona Complex League, Rookie)"
league_link,League Link,`str`,"The API link for the league this MiLB team played in, in this season.","""/api/v1/league/109"" (Texas League, Double-A), ""/api/v1/league/117"" (International League, Triple-A), ""/api/v1/league/121"" (Arizona Complex League, Rookie)"
division_id,Division ID,`int`,"If the league this MiLB team played in had divisions (or, more specifically, divisions the MLB API acknowledges), this is the internal ID for the division this MiLB team played in (if applicable).","""241"" (Texas League North, Tulsa Drillers, Double-A), ""221"" (International League West, Columbus Clippers, Triple-A) , ""560"" (Arizona Complex League East, ACL Giants Orange, Arizona Complex League)"
division_name,Division Name,`str`,"If the league this MiLB team played in had divisions (or, more specifically, divisions the MLB API acknowledges), this is the name of the division this MiLB team played in (if applicable).","""Texas League North"" (Tulsa Drillers, Double-A), ""International League West"" (Columbus Clippers, Triple-A) , ""Arizona Complex League East"" (ACL Giants Orange, Arizona Complex League)"
division_link,Division Link,`str`,"If the league this MiLB team played in had divisions (or, more specifically, divisions the MLB API acknowledges), this is the API link to the division this MiLB team played in (if applicable).","""/api/v1/divisions/241"" (Texas League North, Tulsa Drillers, Double-A), ""/api/v1/divisions/221"" (International League West, Columbus Clippers, Triple-A) , ""/api/v1/divisions/560"" (Arizona Complex League East, ACL Giants Orange, Arizona Complex League)"
sport_id,Sport ID,`int`,This is the ID for the baseball level and/or league this team played in.,"""12"" (Tulsa Drillers, Double-A), ""11"" (Columbus Clippers, Triple-A) , ""16"" (ACL Giants Orange, Arizona Complex League)"
sport_name,Sport Name,`str`,This is the name for the baseball level and/or league this team played in.,"""Double-A"" (Tulsa Drillers, Double-A), ""Triple-A"" (Columbus Clippers, Triple-A) , ""Rookie"" (ACL Giants Orange, Arizona Complex League)"
sport_link,Sport Link,`str`,This is the API link for the baseball level and/or league this team played in.,"""/api/v1/sports/12"" (Tulsa Drillers, Double-A), ""/api/v1/sports/11"" (Columbus Clippers, Triple-A) , ""/api/v1/sports/16"" (ACL Giants Orange, Arizona Complex League)"
team_short_name,Team Short Name,`str`,"The short name of this MiLB team, or this team's full name if this team doesn't really have a nickname.","""Tulsa"" (Tulsa Drillers, Double-A), ""Columbus"" (Columbus Clippers, Triple-A) , ""ACL Giants Orange"" (ACL Giants Orange, Arizona Complex League)"
parent_org_name,Parent Organization Name,`str`,"If this team is in a MLB team's farm system for this season, this is the name of the MLB team.","""Los Angeles Dodgers"" (Tulsa Drillers, Double-A), ""Cleveland Guardians"" (Columbus Clippers, Triple-A) , ""San Francisco Giants"" (ACL Giants Orange, Arizona Complex League)"
parent_org_id,Parent Organization ID,`int`,"If this team is in a MLB team's farm system for this season, this is the team ID of the MLB team.","""119"" (MLB team: Los Angeles Dodgers; MiLB team: Tulsa Drillers, Double-A), ""114"" (MLB team: Cleveland Guardians, MiLB team: Columbus Clippers, Triple-A) , ""137"" (MLB team: San Francisco Giants, MiLB team: ACL Giants Orange, Arizona Complex League)"
franchise_name,Franchise Name,`str`,"The full name of this team, minus the team's nickname.","""Tulsa"" (Tulsa Drillers, Double-A), ""Columbus"" (Columbus Clippers, Triple-A) , ""ACL Giants Orange"" (ACL Giants Orange, Arizona Complex League)"
club_name,Club Name,`str`,"The full nickname of this MiLB team, or the full name of this team if this team has no official nickname.","""Drillers"" (Tulsa Drillers, Double-A), ""Clippers"" (Columbus Clippers, Triple-A) , ""ACL Giants Orange"" (ACL Giants Orange, Arizona Complex League)"
is_active_team,Is Active Team Flag,`boolean`,True/False flag column that indicates if this team is still active.,
