date,game_pk,link,game_type,season,game_date,official_date,is_tie,game_number,public_facing,double_header,gameday_type,tiebreaker,calendar_event_id,season_display,day_night,scheduled_innings,reverse_home_away_status,inning_break_length,games_in_series,series_game_number,series_description,record_source,if_necessary,if_necessary_description,description,status_abstract_game_state,status_coded_game_state,status_detailed_state,status_status_code,status_start_time_tbd,status_abstract_game_code,teams_away_score,teams_away_is_winner,teams_away_spit_squad,teams_away_series_number,teams_away_league_record_wins,teams_away_league_record_losses,teams_away_league_record_pct,teams_away_team_id,teams_away_team_name,teams_away_team_link,teams_home_score,teams_home_is_winner,teams_home_spit_squad,teams_home_series_number,teams_home_league_record_wins,teams_home_league_record_losses,teams_home_league_record_pct,teams_home_team_id,teams_home_team_name,teams_home_team_link,game_year,game_month,game_day
2023-04-06T22:30:00Z,730219,/api/v1.1/game/730219/feed/live,R,2023,2023-04-06T22:30:00Z,2023-04-06,False,1,True,N,E,N,44-730219-2023-04-06,2023,night,9,False,120,3,1,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,2,False,False,1,0,1,0.0,479,Jupiter Hammerheads,/api/v1/teams/479,7,True,False,1,1,0,1.0,279,Palm Beach Cardinals,/api/v1/teams/279,2023,4,6
2023-04-06T22:35:00Z,726162,/api/v1.1/game/726162/feed/live,R,2023,2023-04-06T22:35:00Z,2023-04-06,False,1,True,N,Y,N,44-726162-2023-04-06,2023,night,9,False,120,3,1,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,3,False,False,1,0,1,0.0,459,Dayton Dragons,/api/v1/teams/459,8,True,False,1,1,0,1.0,437,Lake County Captains,/api/v1/teams/437,2023,4,6
2023-04-06T22:35:00Z,726163,/api/v1.1/game/726163/feed/live,R,2023,2023-04-06T22:35:00Z,2023-04-06,False,1,True,N,Y,N,44-726163-2023-04-06,2023,night,9,False,120,3,1,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,0,False,False,1,0,1,0.0,584,Fort Wayne TinCaps,/api/v1/teams/584,1,True,False,1,1,0,1.0,582,West Michigan Whitecaps,/api/v1/teams/582,2023,4,6
2023-04-06T22:35:00Z,729533,/api/v1.1/game/729533/feed/live,R,2023,2023-04-06T22:35:00Z,2023-04-06,False,1,True,N,Y,N,44-729533-2023-04-06,2023,night,9,False,120,1,1,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,10,True,False,1,1,0,1.0,2498,Bowling Green Hot Rods,/api/v1/teams/2498,0,False,False,1,0,1,0.0,573,Asheville Tourists,/api/v1/teams/573,2023,4,6
2023-04-06T23:00:00Z,729529,/api/v1.1/game/729529/feed/live,R,2023,2023-04-06T23:00:00Z,2023-04-06,False,1,True,N,Y,N,44-729529-2023-04-06,2023,night,9,False,120,2,1,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,1,False,False,1,0,1,0.0,428,Greenville Drive,/api/v1/teams/428,3,True,False,1,1,0,1.0,432,Rome Braves,/api/v1/teams/432,2023,4,6
2023-04-06T23:00:00Z,728089,/api/v1.1/game/728089/feed/live,R,2023,2023-04-06T23:00:00Z,2023-04-06,False,1,True,N,Y,N,44-728089-2023-04-06,2023,night,9,False,120,2,1,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,5,True,False,1,1,0,1.0,487,Kannapolis Cannon Ballers,/api/v1/teams/487,4,False,False,1,0,1,0.0,485,Down East Wood Ducks,/api/v1/teams/485,2023,4,6
2023-04-06T23:00:00Z,729891,/api/v1.1/game/729891/feed/live,R,2023,2023-04-06T23:00:00Z,2023-04-06,False,1,True,N,E,N,44-729891-2023-04-06,2023,night,9,False,120,3,1,Regular Season,S,N,Normal Game,,Final,F,Completed Early: Rain,FR,False,F,4,True,False,1,1,0,1.0,424,Dunedin Blue Jays,/api/v1/teams/424,2,False,False,1,0,1,0.0,509,Fort Myers Mighty Mussels,/api/v1/teams/509,2023,4,6
2023-04-06T23:00:00Z,729532,/api/v1.1/game/729532/feed/live,R,2023,2023-04-06T23:00:00Z,2023-04-06,False,1,True,N,Y,N,44-729532-2023-04-06,2023,night,9,False,120,1,1,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,5,False,False,1,0,1,0.0,580,Winston-Salem Dash,/api/v1/teams/580,10,True,False,1,1,0,1.0,448,Hickory Crawdads,/api/v1/teams/448,2023,4,6
2023-04-06T23:05:00Z,727757,/api/v1.1/game/727757/feed/live,R,2023,2023-04-06T23:05:00Z,2023-04-06,False,1,True,N,Y,N,44-727757-2023-04-06,2023,night,9,False,120,2,1,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,6,True,False,1,1,0,1.0,233,Charleston RiverDogs,/api/v1/teams/233,2,False,False,1,0,1,0.0,521,Myrtle Beach Pelicans,/api/v1/teams/521,2023,4,6
2023-04-06T23:05:00Z,727695,/api/v1.1/game/727695/feed/live,R,2023,2023-04-06T23:05:00Z,2023-04-06,False,1,True,N,Y,N,44-727695-2023-04-06,2023,night,9,False,120,3,1,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,11,True,False,1,1,0,1.0,548,Delmarva Shorebirds,/api/v1/teams/548,7,False,False,1,0,1,0.0,414,Salem Red Sox,/api/v1/teams/414,2023,4,6
