date,game_pk,link,game_type,season,game_date,official_date,is_tie,game_number,public_facing,double_header,gameday_type,tiebreaker,calendar_event_id,season_display,day_night,scheduled_innings,reverse_home_away_status,inning_break_length,games_in_series,series_game_number,series_description,record_source,if_necessary,if_necessary_description,description,status_abstract_game_state,status_coded_game_state,status_detailed_state,status_status_code,status_start_time_tbd,status_abstract_game_code,teams_away_score,teams_away_is_winner,teams_away_spit_squad,teams_away_series_number,teams_away_league_record_wins,teams_away_league_record_losses,teams_away_league_record_pct,teams_away_team_id,teams_away_team_name,teams_away_team_link,teams_home_score,teams_home_is_winner,teams_home_spit_squad,teams_home_series_number,teams_home_league_record_wins,teams_home_league_record_losses,teams_home_league_record_pct,teams_home_team_id,teams_home_team_name,teams_home_team_link,game_year,game_month,game_day
2023-04-06T22:00:00Z,724398,/api/v1.1/game/724398/feed/live,R,2023,2023-04-06T22:00:00Z,2023-04-06,False,1,True,N,Y,N,44-724398-2023-04-06,2023,night,9,False,120,3,1,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,8,True,False,1,1,0,1.0,463,New Hampshire Fisher Cats,/api/v1/teams/463,2,False,False,1,0,1,0.0,452,Altoona Curve,/api/v1/teams/452,2023,4,6
2023-04-06T22:00:00Z,725645,/api/v1.1/game/725645/feed/live,R,2023,2023-04-06T22:00:00Z,2023-04-06,False,1,True,N,Y,N,44-725645-2023-04-06,2023,night,9,False,120,3,1,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,5,False,False,1,0,1,0.0,505,Binghamton Rumble Ponies,/api/v1/teams/505,7,True,False,1,1,0,1.0,546,Portland Sea Dogs,/api/v1/teams/546,2023,4,6
2023-04-06T22:35:00Z,724470,/api/v1.1/game/724470/feed/live,R,2023,2023-04-06T22:35:00Z,2023-04-06,False,1,True,N,Y,N,44-724470-2023-04-06,2023,night,9,False,120,3,1,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,5,True,False,1,1,0,1.0,106,Erie SeaWolves,/api/v1/teams/106,0,False,False,1,0,1,0.0,402,Akron RubberDucks,/api/v1/teams/402,2023,4,6
2023-04-06T23:00:00Z,725107,/api/v1.1/game/725107/feed/live,R,2023,2023-04-06T23:00:00Z,2023-04-06,False,1,True,N,Y,N,44-725107-2023-04-06,2023,night,9,False,120,3,1,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,6,True,False,1,1,0,1.0,247,Birmingham Barons,/api/v1/teams/247,2,False,False,1,0,1,0.0,553,Tennessee Smokies,/api/v1/teams/553,2023,4,6
2023-04-06T23:10:00Z,725712,/api/v1.1/game/725712/feed/live,R,2023,2023-04-06T23:10:00Z,2023-04-06,False,1,True,N,Y,N,44-725712-2023-04-06,2023,night,9,False,120,3,1,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,8,True,False,1,1,0,1.0,418,Bowie Baysox,/api/v1/teams/418,0,False,False,1,0,1,0.0,538,Hartford Yard Goats,/api/v1/teams/538,2023,4,6
2023-04-06T23:35:00Z,720947,/api/v1.1/game/720947/feed/live,R,2023,2023-04-06T23:35:00Z,2023-04-06,False,1,True,N,Y,N,44-720947-2023-04-06,2023,night,9,False,120,3,1,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,6,True,False,1,1,0,1.0,498,Chattanooga Lookouts,/api/v1/teams/498,3,False,False,1,0,1,0.0,559,Rocket City Trash Pandas,/api/v1/teams/559,2023,4,6
2023-04-06T23:35:00Z,728872,/api/v1.1/game/728872/feed/live,R,2023,2023-04-06T23:35:00Z,2023-04-06,False,1,True,N,Y,N,44-728872-2023-04-06,2023,night,9,False,120,3,1,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,4,True,False,1,1,0,1.0,3898,Wichita Wind Surge,/api/v1/teams/3898,1,False,False,1,0,1,0.0,440,Springfield Cardinals,/api/v1/teams/440,2023,4,6
2023-04-06T23:35:00Z,729146,/api/v1.1/game/729146/feed/live,R,2023,2023-04-06T23:35:00Z,2023-04-06,False,1,True,N,Y,N,44-729146-2023-04-06,2023,night,9,False,120,3,1,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,4,False,False,1,0,1,0.0,5368,Amarillo Sod Poodles,/api/v1/teams/5368,12,True,False,1,1,0,1.0,540,Frisco RoughRiders,/api/v1/teams/540,2023,4,6
2023-04-07T00:05:00Z,728801,/api/v1.1/game/728801/feed/live,R,2023,2023-04-07T00:05:00Z,2023-04-06,False,1,True,N,Y,N,44-728801-2023-04-06,2023,night,9,False,120,3,1,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,0,False,False,1,0,1,0.0,510,San Antonio Missions,/api/v1/teams/510,7,True,False,1,1,0,1.0,260,Tulsa Drillers,/api/v1/teams/260,2023,4,6
2023-04-07T00:05:00Z,729213,/api/v1.1/game/729213/feed/live,R,2023,2023-04-07T00:05:00Z,2023-04-06,False,1,True,N,Y,N,44-729213-2023-04-06,2023,night,9,False,120,3,1,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,9,True,False,1,1,0,1.0,574,Arkansas Travelers,/api/v1/teams/574,5,False,False,1,0,1,0.0,482,Corpus Christi Hooks,/api/v1/teams/482,2023,4,6
2023-04-07T00:05:00Z,729009,/api/v1.1/game/729009/feed/live,R,2023,2023-04-07T00:05:00Z,2023-04-06,False,1,True,N,Y,N,44-729009-2023-04-06,2023,night,9,False,120,3,1,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,2,False,False,1,0,1,0.0,237,Midland RockHounds,/api/v1/teams/237,3,True,False,1,1,0,1.0,1350,Northwest Arkansas Naturals,/api/v1/teams/1350,2023,4,6
2023-04-06T22:35:00Z,723956,/api/v1.1/game/723956/feed/live,R,2023,2023-04-06T22:35:00Z,2023-04-08,False,3,True,N,Y,N,44-723956-2023-04-06,2023,night,7,False,120,3,1,Regular Season,S,N,Normal Game,,Final,D,Postponed,DR,False,F,,,False,1,0,2,0.0,547,Harrisburg Senators,/api/v1/teams/547,,,False,1,2,0,1.0,1956,Somerset Patriots,/api/v1/teams/1956,2023,4,6
2023-04-07T22:00:00Z,724399,/api/v1.1/game/724399/feed/live,R,2023,2023-04-07T22:00:00Z,2023-04-07,False,2,True,N,Y,N,44-724399-2023-04-07,2023,night,9,False,120,3,2,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,7,True,False,1,2,0,1.0,463,New Hampshire Fisher Cats,/api/v1/teams/463,2,False,False,1,0,2,0.0,452,Altoona Curve,/api/v1/teams/452,2023,4,7
