date,game_pk,link,game_type,season,game_date,official_date,is_tie,game_number,public_facing,double_header,gameday_type,tiebreaker,calendar_event_id,season_display,day_night,scheduled_innings,reverse_home_away_status,inning_break_length,games_in_series,series_game_number,series_description,record_source,if_necessary,if_necessary_description,description,status_abstract_game_state,status_coded_game_state,status_detailed_state,status_status_code,status_start_time_tbd,status_abstract_game_code,teams_away_score,teams_away_is_winner,teams_away_spit_squad,teams_away_series_number,teams_away_league_record_wins,teams_away_league_record_losses,teams_away_league_record_pct,teams_away_team_id,teams_away_team_name,teams_away_team_link,teams_home_score,teams_home_is_winner,teams_home_spit_squad,teams_home_series_number,teams_home_league_record_wins,teams_home_league_record_losses,teams_home_league_record_pct,teams_home_team_id,teams_home_team_name,teams_home_team_link,game_year,game_month,game_day
2023-03-31T20:05:00Z,722652,/api/v1.1/game/722652/feed/live,R,2023,2023-03-31T20:05:00Z,2023-03-31,False,1,True,N,E,N,44-722652-2023-03-31,2023,day,9,False,120,3,1,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,2,False,False,1,0,1,0.0,552,Syracuse Mets,/api/v1/teams/552,11,True,False,1,1,0,1.0,533,Worcester Red Sox,/api/v1/teams/533,2023,3,31
2023-03-31T20:05:00Z,723026,/api/v1.1/game/723026/feed/live,R,2023,2023-03-31T20:05:00Z,2023-03-31,False,1,True,N,E,N,44-723026-2023-03-31,2023,day,9,False,120,3,1,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,8,True,False,1,1,0,1.0,1410,Lehigh Valley IronPigs,/api/v1/teams/1410,7,False,False,1,0,1,0.0,534,Rochester Red Wings,/api/v1/teams/534,2023,3,31
2023-03-31T20:05:00Z,722729,/api/v1.1/game/722729/feed/live,R,2023,2023-03-31T20:05:00Z,2023-03-31,False,1,True,N,E,N,44-722729-2023-03-31,2023,day,9,False,120,3,1,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,4,False,False,1,0,1,0.0,1960,St. Paul Saints,/api/v1/teams/1960,7,True,False,1,1,0,1.0,512,Toledo Mud Hens,/api/v1/teams/512,2023,3,31
2023-03-31T21:05:00Z,721732,/api/v1.1/game/721732/feed/live,R,2023,2023-03-31T21:05:00Z,2023-03-31,False,1,True,N,E,N,44-721732-2023-03-31,2023,day,9,False,120,3,1,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,9,False,False,1,0,1,0.0,400,Las Vegas Aviators,/api/v1/teams/400,13,True,False,1,1,0,1.0,2310,Reno Aces,/api/v1/teams/2310,2023,3,31
2023-03-31T22:35:00Z,722952,/api/v1.1/game/722952/feed/live,R,2023,2023-03-31T22:35:00Z,2023-03-31,False,1,True,N,E,N,44-722952-2023-03-31,2023,night,9,False,120,3,1,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,1,False,False,1,0,1,0.0,422,Buffalo Bisons,/api/v1/teams/422,2,True,False,1,1,0,1.0,531,Scranton/Wilkes-Barre RailRiders,/api/v1/teams/531,2023,3,31
2023-03-31T22:35:00Z,723758,/api/v1.1/game/723758/feed/live,R,2023,2023-03-31T22:35:00Z,2023-03-31,False,1,True,N,E,N,44-723758-2023-03-31,2023,night,9,False,120,3,1,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,6,True,False,1,1,0,1.0,568,Norfolk Tides,/api/v1/teams/568,4,False,False,1,0,1,0.0,234,Durham Bulls,/api/v1/teams/234,2023,3,31
2023-03-31T23:04:00Z,725504,/api/v1.1/game/725504/feed/live,R,2023,2023-03-31T23:04:00Z,2023-03-31,False,1,True,N,E,N,44-725504-2023-03-31,2023,night,9,False,120,3,1,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,9,True,False,1,1,0,1.0,235,Memphis Redbirds,/api/v1/teams/235,1,False,False,1,0,1,0.0,494,Charlotte Knights,/api/v1/teams/494,2023,3,31
2023-03-31T23:05:00Z,723610,/api/v1.1/game/723610/feed/live,R,2023,2023-03-31T23:05:00Z,2023-03-31,False,1,True,N,E,N,44-723610-2023-03-31,2023,night,9,False,120,3,1,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,8,True,False,1,1,0,1.0,541,Omaha Storm Chasers,/api/v1/teams/541,6,False,False,1,0,1,0.0,484,Indianapolis Indians,/api/v1/teams/484,2023,3,31
2023-03-31T23:05:00Z,723684,/api/v1.1/game/723684/feed/live,R,2023,2023-03-31T23:05:00Z,2023-03-31,False,1,True,N,E,N,44-723684-2023-03-31,2023,night,9,False,120,3,1,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,5,False,False,1,0,1,0.0,564,Jacksonville Jumbo Shrimp,/api/v1/teams/564,8,True,False,1,1,0,1.0,431,Gwinnett Stripers,/api/v1/teams/431,2023,3,31
2023-04-01T00:05:00Z,721661,/api/v1.1/game/721661/feed/live,R,2023,2023-04-01T00:05:00Z,2023-03-31,False,1,True,N,E,N,44-721661-2023-03-31,2023,night,9,False,120,3,1,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,9,True,False,1,1,0,1.0,342,Albuquerque Isotopes,/api/v1/teams/342,4,False,False,1,0,1,0.0,102,Round Rock Express,/api/v1/teams/102,2023,3,31
